run_id,course_code,course_tier,target_gold_risk_id,target_topic,attack_family,synthetic_to_authentic_ratio,generation_seed,pipeline,metric,clean_value,attacked_value,delta
ACCT2542__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.125,-0.875
ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.25,-0.75
ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.125,-0.875
ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.375,-0.625
ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.125,-0.875
ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.125,-0.875
COMM1150__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,COMM1150,strict_complete,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,COMM1150,strict_complete,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,COMM1150,strict_complete,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,COMM1150,strict_complete,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,2.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,COMM1150,strict_complete,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.5,-0.5
COMM1150__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,COMM1150,strict_complete,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,COMM1150,strict_complete,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,COMM1150,strict_complete,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,COMM1150,strict_complete,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,2.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,COMM1150,strict_complete,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.0,-1.0
COMM1150__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,COMM1150,strict_complete,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,COMM1150,strict_complete,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,COMM1150,strict_complete,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
