annotator_id,course_code,course_title_en,comment_id,first_hand_experience,contains_concrete_evidence,specificity_0_3,low_evidence_general,aspect_labels,risk_labels,risk_severity_0_3,sentiment,evidence_span,notes,updated_at
Miris sjy,COMP1511,Programming Fundamentals,11,,,,,,,,,,,2026-07-10T05:38:24.246Z
Miris sjy,COMP1511,Programming Fundamentals,15,,,,,,,,,,,2026-07-10T05:38:44.919Z
Miris sjy,COMP6713,Natural Language Processing,32,unclear,no,0,yes,assessment,none,0,neutral,,,2026-07-10T06:10:47.454Z
Miris sjy,COMP6080,Web Front-End Programming,33,no,no,1,yes,assessment;exam;group_work,unclear_marking;harsh_grading,1,negative,压分比较严重，期末还是手写代码。,技术难度高，覆盖面广有深度,2026-07-10T03:59:54.691Z
Miris sjy,COMP9417,Machine Learning,35,yes,no,1,no,assessment,none,0,positive,,,2026-07-10T11:54:59.616Z
Miris sjy,COMP6080,Web Front-End Programming,93,yes,no,2,yes,assessment,high_workload,0,neutral,天天都在赶作业,,2026-07-07T11:49:14.312Z
Miris sjy,COMP6080,Web Front-End Programming,95,yes,yes,3,no,assignment,high_workload,0,positive,但 workload 真的重，assignment 一个接一个,,2026-07-07T11:49:14.472Z
Miris sjy,COMP9417,Machine Learning,111,yes,yes,2,yes,assessment;project;quiz,high_workload,1,neutral,几乎每周都有任务，不是quiz就是作业，有时候还要写report,,2026-07-10T06:45:36.602Z
Miris sjy,COMP9417,Machine Learning,113,yes,yes,1,no,project;group_work,group_work_risk,0,neutral,project很吃队友,,2026-07-10T06:53:10.300Z
Miris sjy,COMP9417,Machine Learning,115,unclear,no,1,yes,assessment;resource_quality,none,0,positive,,,2026-07-10T06:54:47.421Z
Miris sjy,COMP6991,Solving Modern Programming Problems with Rust,123,,no,0,yes,assessment;assignment,high_workload,0,mixed,,,2026-07-10T05:38:46.709Z
Miris sjy,COMP6080,Web Front-End Programming,125,unclear,no,1,yes,assignment,high_workload,0,mixed,作业量太大了,,2026-07-07T11:49:14.642Z
Miris sjy,COMP6080,Web Front-End Programming,127,unclear,yes,1,yes,assessment,high_workload;low_practical_value,3,negative,ai这么强，前端还有学的意义吗？,,2026-07-07T11:49:14.816Z
Miris sjy,COMP6991,Solving Modern Programming Problems with Rust,129,unclear,yes,1,yes,assessment;teaching_quality,none,0,positive,好拿分,,2026-07-10T04:01:44.287Z
Miris sjy,COMP6991,Solving Modern Programming Problems with Rust,131,unclear,yes,1,yes,assessment;assignment,none,0,positive,内容还挺实用的,,2026-07-10T04:02:17.856Z
Miris sjy,COMP6991,Solving Modern Programming Problems with Rust,133,unclear,yes,1,yes,assessment,none,0,neutral,花点时间理解，但回报还不错,,2026-07-10T04:24:21.596Z
Miris sjy,COMP6080,Web Front-End Programming,149,no,yes,1,yes,assessment;assignment,high_workload,1,neutral,全是ass,,2026-07-07T11:49:14.995Z
Miris sjy,COMP6080,Web Front-End Programming,151,yes,yes,3,no,assessment;assignment;teaching_quality,high_workload,0,mixed,你一边骂 workload，一边又承认这课确实教得有用。,,2026-07-07T11:49:15.179Z
Miris sjy,COMP6080,Web Front-End Programming,153,unclear,no,0,yes,support;career_relevance,low_practical_value,3,negative,前端还有活路吗,,2026-07-07T11:49:15.363Z
Miris sjy,COMP6080,Web Front-End Programming,155,unclear,no,0,yes,resource_quality;support,none,0,neutral,none,,2026-07-07T11:49:15.565Z
Miris sjy,COMP6080,Web Front-End Programming,157,yes,no,1,yes,group_work,group_work_risk,0,neutral,很吃小组队友,,2026-07-07T11:49:15.757Z
Miris sjy,COMP6713,Natural Language Processing,169,unclear,no,1,yes,assessment,none,0,positive,,,2026-07-10T05:54:07.010Z
Miris sjy,COMP6713,Natural Language Processing,171,yes,yes,1,no,assessment;marking;group_work,unclear_marking;harsh_grading,1,mixed,老师实在太抽象了，开局直接扣20%小组分,,2026-07-10T05:56:43.504Z
Miris sjy,COMP6713,Natural Language Processing,173,yes,no,1,yes,assessment,none,0,positive,,,2026-07-10T05:57:08.830Z
Miris sjy,COMP6991,Solving Modern Programming Problems with Rust,185,yes,yes,1,yes,assessment;assignment,high_workload,1,mixed,写作业写到崩溃,,2026-07-10T04:24:57.029Z
Miris sjy,COMP6991,Solving Modern Programming Problems with Rust,187,yes,yes,1,no,assessment;assignment;lab,none,0,positive,assignment分值挺高的，lab基本照着做就能拿满,,2026-07-10T04:26:11.388Z
Miris sjy,COMP6991,Solving Modern Programming Problems with Rust,189,unclear,yes,1,yes,assignment,harsh_grading,0,neutral,作业要求比较严格,,2026-07-10T04:26:54.366Z
Miris sjy,COMP6771,Advanced C++ Programming,190,,,,,,,,,,,2026-07-10T11:46:15.154Z
Miris sjy,COMP6991,Solving Modern Programming Problems with Rust,191,unclear,no,1,yes,assessment,none,0,positive,,,2026-07-10T04:27:22.299Z
